p_hex8,d_hex8,ride_count
883c0299a9fffff,883c0299e3fffff,18
883c0299d7fffff,883c02998bfffff,18
883cf13b27fffff,883cf13945fffff,18
883c029901fffff,883c02990dfffff,18
883cf13b39fffff,883cf1394dfffff,18
883cf13b25fffff,883cf10cb5fffff,18
883c0299d5fffff,883c02998bfffff,18
883c0299a9fffff,883c02d6d7fffff,18
883c0299c3fffff,883c029989fffff,18
883cf1765bfffff,883cf13945fffff,18
883cf1765dfffff,883cf10ca3fffff,17
883c028857fffff,883c028857fffff,17
883c02991dfffff,883c029989fffff,17
883c0299a9fffff,883c02d6d9fffff,17
883c0299c5fffff,883c029939fffff,17
883c02991dfffff,883c0299ebfffff,17
883cf1396bfffff,883cf13b27fffff,17
883c029867fffff,883c029915fffff,17
883cf1396bfffff,883cf17659fffff,17
883cf13b25fffff,883cf10cb7fffff,17
883cf13b2dfffff,883cf10c93fffff,17
883cf13b25fffff,883cf10cabfffff,17
883c0299c5fffff,883c0299c7fffff,17
883c0299c5fffff,883c0299c3fffff,17
883c029903fffff,883c029827fffff,17
883cf13b25fffff,883cf10ca1fffff,17
883cf13b25fffff,883cf10c93fffff,17
883cf13b21fffff,883cf10ca3fffff,17
883c029921fffff,883c02992dfffff,17
883c029929fffff,883c02992dfffff,17
883cf13b25fffff,883cf1396bfffff,17
883c029903fffff,883c02996bfffff,17
883cf13b03fffff,883cf13945fffff,17
883c029903fffff,883c029937fffff,17
883c029903fffff,883c029905fffff,17
883c0299edfffff,883c029933fffff,17
883c029903fffff,883c029909fffff,17
883c0299e5fffff,883c0299edfffff,17
883cf1396bfffff,883cf13b25fffff,17
883c0299e5fffff,883c02d6d1fffff,17
883c0299edfffff,883c0299e1fffff,17
883c029821fffff,883c029951fffff,17
883c029935fffff,883c0299a9fffff,17
883c029913fffff,883c0299ebfffff,17
883c0299a9fffff,883c0299e5fffff,17
883c029933fffff,883c02993bfffff,17
883c0299e5fffff,883c02d6dbfffff,17
883c02992bfffff,883c02992dfffff,17
883c029917fffff,883c0299e9fffff,17
883cf17651fffff,883cf10ca3fffff,17
883c029917fffff,883c0299cdfffff,17
883cf10cc5fffff,883cf13945fffff,17
883cf10cb7fffff,883cf13945fffff,17
883c02993dfffff,883c02d65bfffff,17
883cf10ca3fffff,883cf17619fffff,17
883cf10ca1fffff,883cf17655fffff,17
883c02d6d1fffff,883c02d6d7fffff,17
883c029941fffff,883c02990dfffff,17
883c029907fffff,883c02d6cbfffff,17
883c02d6d7fffff,883c029937fffff,17
883c029907fffff,883c029909fffff,17
883c02d6c3fffff,883c02d6c7fffff,17
883c02993bfffff,883c0299e9fffff,17
883c02d6c3fffff,883c02d6c9fffff,17
883c029967fffff,883c029963fffff,17
883c029939fffff,883c0299c7fffff,17
883c029939fffff,883c0299c1fffff,17
883c029939fffff,883c0299c5fffff,17
883cf10ce7fffff,883cf10c97fffff,17
883cf13905fffff,883cf1394dfffff,17
883c029939fffff,883c02d689fffff,17
883c029939fffff,883c02d65bfffff,17
883c02d69dfffff,883c0299a9fffff,17
883c029989fffff,883c0299ddfffff,17
