Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 8,"23.74539893567319, 90.3822698893515",5.32,5.32,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 8A,"23.74399744568268, 90.37228120463195",8.39,8.39,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 9,"23.74655449516206, 90.38038487956058",6.29,6.29,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 9A,"23.7453419928271, 90.37268812693476",7.91,7.91,,
Abul Hotel,"23.754778817124492, 90.41540918143296",DIT Project,"23.773401431652626, 90.42539669118638",2.32,2.32,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Donia,"23.70373276674018, 90.44888702333212",9.95,10.01,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Eden Mohila College,"23.727969663293113, 90.38634073725261",7.29,7.29,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Elephant Road,"23.739201420708195, 90.3871715084171",5.9,5.9,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Fakirapool,"23.732659171031635, 90.41697754122195",4.21,4.21,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Farmgate,"23.756173521829375, 90.38704401820739",5.32,5.32,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Fullar Road,"23.73073816057924, 90.39176972190907",6.57,6.57,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Gabtoli,"23.78375365953661, 90.34394491819548",12.87,12.87,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Gausia Market,"23.734500093179562, 90.38484896905942",6.71,6.71,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Golapbagh,"23.718521712715287, 90.42874810241406",7.98,7.98,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Green Road,"23.74918962367928, 90.38642243725327",4.84,4.84,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Gulshan 1,"23.782041809012444, 90.41583890444907",4.59,4.59,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Gulshan 2,"23.79478879910383, 90.41424260763533",6.73,6.73,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Hatirjheel,"23.76902204182111, 90.42262363725398",4.52,4.52,,
Abul Hotel,"23.754778817124492, 90.41540918143296",High Court area,"23.73090866273321, 90.40338923639176",6.49,6.49,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Hoseni Dalan,"23.722583647017565, 90.39810674095497",6.23,6.23,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Islampur,"23.71111601031198, 90.4054698660879",7.58,7.58,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Ittefaq Mor,"23.721547707395114, 90.42111636584217",5.96,5.96,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Jagannath University,"23.708881117200264, 90.41038871597911",7.21,7.21,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Jamuna Future Park,"23.81379627952912, 90.42422856609141",9.84,9.84,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Japan Garden City,"23.764672297272995, 90.35849825973594",8.83,8.83,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Jigatola Bus Stand,"23.73937912489636, 90.37534962713546",7.59,7.59,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Kakrail,"23.7387925105459, 90.40645995663675",4.08,4.13,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Kalabagan,"23.74959719710081, 90.3830759033639",5.3,5.3,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Kamal Ataturk,"23.794078210371698, 90.40521536212151",7.4,7.4,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Karwan Bazar,"23.75238303755729, 90.39412694572513",4.3,4.3,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Katabon,"23.737077270043894, 90.3872181292236",6.37,6.37,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Khan Mohammad Mridha Mosque,"23.72097414772569, 90.3841198372523",8.06,8.06,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Kuril,"23.819103914136477, 90.42182338455416",9.0,9.0,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Kurmitola,"23.849581476455512, 90.40692877671945",15.14,15.14,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Labaid Gulshan,"23.79568677446299, 90.41290757246027",6.74,6.74,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Lalmatia,"23.756310855321406, 90.36826726840225",7.24,7.24,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Le Meridian,"23.836505783720128, 90.41820316827958",12.89,12.89,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Linked Road,"23.74588618408847, 90.39368209492494",4.55,4.55,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Madani Avenue,"23.796522119458537, 90.41892630380953",7.24,7.24,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Mitford Hospital,"23.710241130066684, 90.40146387971537",7.69,7.69,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohakhali,"23.777854677596434, 90.40604839490996",5.67,5.67,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohakhali Bus Stand,"23.772266301739617, 90.40155305511783",7.25,7.25,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohammadia Housing Society,"23.763101301949316, 90.35556289470746",9.1,9.1,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohammadpur,"23.7663733521534, 90.35838993349377",9.02,9.02,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohanogor Project,"23.76520526494669, 90.41386759492562",1.53,1.53,,
